respondent_id,age_category,gender,race_ethnicity,race_hispanic,household_income,income_tier,crypto_heard_of,crypto_invested,crypto_currently_own,crypto_safety_confidence,crypto_reliability_confidence
100314,65+,A man,White,White non-Hispanic,"$80,000 to less than $90,000",Middle income,A lot,"No, I have not done this",,Not at all confident,
100363,30-49,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,A lot,"Yes, I have done this","Yes, I do",Somewhat confident,Worse than you expected
100598,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
100637,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Lower income,A little,"No, I have not done this",,Not at all confident,
101224,65+,A man,White,White non-Hispanic,"$70,000 to less than $80,000",Middle income,Nothing at all,,,,
101437,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A lot,"No, I have not done this",,Not very confident,
101493,65+,A man,White,Hispanic,"$90,000 to less than $100,000",Upper income,A little,"No, I have not done this",,Not very confident,
102198,18-29,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,A little,"No, I have not done this",,Not very confident,
103060,65+,A woman,White,White non-Hispanic,"$90,000 to less than $100,000",Middle income,A little,"No, I have not done this",,Not at all confident,
103379,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
103519,65+,A man,White,White non-Hispanic,"$100,000 or more",Refused,A little,"No, I have not done this",,Not very confident,
103538,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not at all confident,
103611,65+,A woman,White,White non-Hispanic,"Less than $30,000",Middle income,A little,"No, I have not done this",,Somewhat confident,
103677,50-64,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A lot,"No, I have not done this",,Not at all confident,
103956,65+,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not at all confident,
104210,30-49,A woman,White,White non-Hispanic,"$30,000 to less than $40,000",Lower income,A little,"No, I have not done this",,Not at all confident,
104368,65+,A man,White,White non-Hispanic,"$30,000 to less than $40,000",Middle income,A little,"No, I have not done this",,Not very confident,
104491,65+,A woman,White,White non-Hispanic,"$40,000 to less than $50,000",Middle income,A little,"No, I have not done this",,Not at all confident,
104689,65+,A woman,White,White non-Hispanic,"Less than $30,000",Lower income,Nothing at all,,,,
104727,50-64,A man,White,White non-Hispanic,Refused,Refused,A little,"No, I have not done this",,Somewhat confident,
105124,65+,A man,White,White non-Hispanic,"$100,000 or more",Upper income,A little,"No, I have not done this",,Not very confident,
105205,50-64,A woman,White,White non-Hispanic,"$100,000 or more",Middle income,Nothing at all,,,,
105269,65+,A man,White,White non-Hispanic,"$50,000 to less than $60,000",Middle income,A little,"No, I have not done this",,Somewhat confident,
106180,50-64,A man,White,White non-Hispanic,"$100,000 or more",Middle income,A little,"No, I have not done this",,Not at all confident,
